Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C3348;Chachapoyas 3546;Niceto Vega y Chorroarin;65 Reg -;-31,369715;-64,133077
C3350;Chorroarin 2557;Heroinas de Ayohuma  y Heroes de Vilcapu;65 Reg -;-31,369527;-64,136075
C3351;Chorroarin 2405;Heroes de Vilcapujio y J. de Vedia;65 Reg -;-31,369495;-64,137985
C3352;Publica SMATA 9999;Frente Manzana N ;61 Reg -;-31,45436;-64,223505
C3354;Publica SMATA 9999;Frente Manzana F ;61 Reg -;-31,455632;-64,222861
C3356;Publica SMATA 9999;Frente Manzana E ;61 Reg -;-31,456254;-64,221885
C3360;Publica SMATA 9999;Frente Manzana D ;61 Reg -;-31,457279;-64,218784
C3362;Huiliches 1281;Rio Negro y Terry;61 Reg -;-31,455522;-64,217958
C3364;Huiliches 1115;Publica F y Cacheuta;61 Reg -;-31,456016;-64,214578
C3366;Cacheuta 4000;Huiliches y Paso de la Patria;61 Reg -;-31,454936;-64,213505
C3368;Cacheuta 3825;Trelew y Tafi;61 Reg -;-31,452062;-64,212775
C3370;Horacio Martinez 3756;Tafi y Manuel Moreno;61 Reg -;-31,450863;-64,214685
C3371;Horacio Martinez 3613;Lascano y Soaje;61 Reg -;-31,449129;-64,214286
C3372;Horacio Martinez 3465;Virgilio Moyano y Novillo Martinez;61 Reg -;-31,447156;-64,213687
C3374;Langer 1107;Horacio Martinez y Cacheuta;61 Reg -;-31,447128;-64,212003
C3378;Baigorria 1050;Cacheuta y Rio Negro;61 Reg -;-31,445463;-64,212035
C3380;Tronador 3070;Ibacla y Yanquetruz;61 Reg -;-31,444829;-64,214879
C3382;Tronador 2957;Yanquetruz y Ibiac;61 Reg -;-31,443163;-64,215174
C3384;Rio Negro 2800;Guayama y Irala;61 Reg -;-31,441287;-64,214015
C3385;Irala 1431;Laspiur y Carlos Luna;61 Reg -;-31,441561;-64,212003
C3386;Kronfus 2574;Jose Baca y Rafael Igarazabal;61 Reg -;-31,439603;-64,211891
C3388;Kronfus 2505;Goycoechea y la Misma;61 Reg -;-31,438708;-64,210748
C3390;Kronfus 2305;La Cañada y Romagosa;61 Reg -;-31,437774;-64,209343
C3392;Emilio Achaval 2117;Romagosa y Benito Soria;61 Reg -;-31,437005;-64,208646
C3394;Emilio Achaval 2055;Benito Soria y Fereryra;61 Reg -;-31,43598;-64,208335
C3396;Dumas 1901;Venus y Preciados;61 Reg -;-31,434222;-64,208635
C3398;Alcala 1005;Dumas y Emilio Achaval;61 Reg -;-31,433041;-64,207884
C3400;Alcala 917;Paraguay y Paso de los Andes;61 Reg -;-31,433242;-64,206296
C3402;Alcala 715;Canalejas y Elpidio Gonzalez;61 Reg -;-31,433718;-64,203571
C3404;Elpidio Gonzalez 1721;Alcala y Fuencarral;61 Reg -;-31,433535;-64,202863
C3406;Elpidio Gonzalez 1575;Rufino Zado y Mayor;61 Reg -;-31,431558;-64,202412
C3408;Elpidio Gonzalez 1463;Bambilla y Zavaleta;61 Reg -;-31,429324;-64,201704
C3412;La Plata 496;Leonor de Tejeda y Americo Vespucio;61 Reg -;-31,418703;-64,1694
C3414;Zuviria 1086;La Plata y San Nicolas;61 Reg -;-31,420168;-64,169175
C3416;Zuviria 1266;Rio Cuarto y Posadas;61 Reg -;-31,420662;-64,166707
C3418;Zuviria 1494;Garzon Agulla y Salto;61 Reg -;-31,420928;-64,164626
C3420;Zuviria 1690;Uruguay y Asuncion;61 Reg -;-31,421404;-64,162223
C3422;Copiapo 507;Arenales y Americo Vespucio;61 Reg -;-31,4208;-64,160592
C3424;Copiapo 311;Leonor de Tejeda y Manuel Dorrego;61 Reg -;-31,418786;-64,160141
C3426;Copiapo 81;Juan Larrea y 4 de Febrero;61 Reg -;-31,415874;-64,158982
C3428;Copiapo 5;4 de Febrero y Rosario de Santa Fe;61 Reg -;-31,414757;-64,159304
